Function ID,Function Name,season_pval,season_top_pval,season_mid_pval,season_btm_pval,depth_pval,spearman_r,spearman_p,season_pval_corr,season_top_pval_corr,season_mid_pval_corr,season_btm_pval_corr,depth_pval_corr,spearman_pval_corr
KO:K20158,pseudooxynicotine oxidase [EC:1.4.3.24],0.9689199367543982,0.13189792861646846,0.06271109075898111,0.8260465416008,2.747450010852647e-05,-0.7663280545945628,6.069045248191263e-06,0.9998188706733068,0.9863050186157599,0.998161279668407,0.8842056212956119,0.007150723054488128,0.0016168083056534053
KO:K22797,diglucosylglycerate octanoyltransferase [EC:2.3.1.273],0.9033619930189418,0.9724755896756897,0.6793145395375055,0.5159681228775257,7.684472552408039e-05,-0.733578992432402,1.4871452650581297e-05,0.9998188706733068,0.9924810424732636,0.998161279668407,0.6658701432425479,0.007150723054488128,0.0016168083056534053
KO:K20529,type IV secretion system protein TrbD,0.5983502118913677,0.5777456155937848,0.6793145395375055,0.3760805447889231,0.00011345729083239663,-0.7204793675675377,2.107094201928764e-05,0.9998188706733068,0.9863050186157599,0.998161279668407,0.5572921262663716,0.007150723054488128,0.0016168083056534053
KO:K00222,Delta14-sterol reductase [EC:1.3.1.70],0.5577874162815684,0.8383987241644638,0.10090695162387808,0.44153610468375193,0.00021703857929947784,-0.6942801178378091,4.157986965885239e-05,0.9998188706733068,0.9863050186157599,0.998161279668407,0.610341593012032,0.007150723054488128,0.0016168083056534053
KO:K07239,"heavy-metal exporter, HME family",0.5157309485859145,0.4328704266255997,0.7888458530654436,0.19156483299076216,0.0002403694764195138,-0.6877303054053769,4.910556575232562e-05,0.9998188706733068,0.9863050186157599,0.998161279668407,0.4266417073048003,0.007150723054488128,0.0016168083056534053
KO:K01236,maltooligosyltrehalose trehalohydrolase [EC:3.2.1.141],0.7087289179464209,0.13485445159785242,0.5565954715609438,0.20005081613625186,0.00027125195047004823,-0.6844553991891609,5.33361885840872e-05,0.9998188706733068,0.9863050186157599,0.998161279668407,0.4266417073048003,0.007150723054488128,0.0016168083056534053
KO:K20118,glucose PTS system EIICBA or EIICB component [EC:2.7.1.199],0.8585895156832573,0.5565954715609438,0.9633680302340735,0.24794893253136197,0.0002749423966547404,-0.6844553991891609,5.33361885840872e-05,0.9998188706733068,0.9863050186157599,0.998161279668407,0.45452482264500915,0.007150723054488128,0.0016168083056534053
KO:K11746,glutathione-regulated potassium-efflux system ancillary protein KefF,0.8581131533379305,0.788845853065442,0.921698858575407,0.14732108491877768,0.00028696331974009263,-0.6811804929729447,5.791062912754861e-05,0.9998188706733068,0.9863050186157599,0.998161279668407,0.40914806907613455,0.007150723054488128,0.0016168083056534053
KO:K22350,manganese oxidase [EC:1.16.3.3],0.5851763713061404,0.08618964081900748,0.8629064020333611,0.10319693388376278,0.00016713700432553053,-0.6811804929729447,5.791062912754861e-05,0.9998188706733068,0.9863050186157599,0.998161279668407,0.40914806907613455,0.007150723054488128,0.0016168083056534053
KO:K20530,type IV secretion system protein TrbE [EC:7.4.2.8],0.7693234636042267,0.45929046592139855,0.9882500892143785,0.5885248464850752,0.00031283964349119385,-0.6779055867567286,6.285497966233363e-05,0.9998188706733068,0.9863050186157599,0.998161279668407,0.7203525779727723,0.007150723054488128,0.0016168083056534053
